2001_IV,2001_NRMVotes,2001_OV,2006_IV,2006_NRMVotes,2011_IV,2011_NRMVotes,2011_NRM_Score,2016_IV,2016_NRMVOTES,2016_NRM_Score,2016_Opp_Votes,2021_NRM_Score
5604.0,37133.0,133372.0,10391.0,25865.0,3087.0,41712.0,0.5819764764974258,5023.0,56371.0,0.562624135418642,43822.0,0.6106560514430069
9807.0,72393.0,112419.0,11022.0,68560.0,9207.0,85005.0,0.5506182755649983,20736.0,114868.0,0.577084034584449,84181.0,0.7047686664300082
1112.0,39676.0,3451.0,3019.0,45651.0,2401.0,45909.0,0.8694392364070224,4054.0,61553.0,0.8559251327975081,10361.0,0.7301910189068312
3427.0,212540.0,46387.0,8055.0,176909.0,1907.0,51894.0,0.7570682461412774,2797.0,61837.0,0.6872839629666678,28136.0,0.7855937503687708
6076.0,15320.0,117410.0,5631.0,16866.0,5340.0,24590.0,0.2903530523084189,5694.0,31391.0,0.3273510334327487,64503.0,0.5039064468975251
1965.0,79101.0,9580.0,3080.0,76952.0,7369.0,93070.0,0.85250796907632,8194.0,111133.0,0.7447144991925162,38096.0,0.7287984525525297
6442.0,166403.0,36862.0,8542.0,126262.0,3815.0,72863.0,0.6982357958084578,7444.0,82281.0,0.5985552791235651,55185.0,0.3795555177111717
2487.0,77929.0,39005.0,4686.0,54259.0,3261.0,74219.0,0.6514838970181613,5861.0,66063.0,0.5040476099645215,65002.0,0.3689004345664758
1855.0,189731.0,17768.0,12758.0,122684.0,6944.0,139676.0,0.7859683082740614,5465.0,132047.0,0.6547417169944169,69631.0,0.8451738625995472
2642.0,93414.0,11568.0,3876.0,87153.0,6227.0,104709.0,0.8443252832318671,7687.0,122134.0,0.7610827922280244,38340.0,0.8044935152596306
246.0,7473.0,3658.0,630.0,7246.0,954.0,9824.0,0.6183672184805187,1040.0,10161.0,0.5356916912695066,8807.0,0.2814684381836615
4340.0,240681.0,266092.0,9703.0,170688.0,12019.0,225698.0,0.460795302582069,14112.0,157098.0,0.3092315959584825,350929.0,0.2391501542808282
